A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
1137,2,1,0,1,1,0,0,0,1,1,2,2,2,0,0,0,1,1,0,0
1138,2,0,0,0,0,1,0,0,2,0,0,1,0,2,2,2,0,1,2,0
1139,2,2,0,0,0,0,2,1,1,0,0,0,0,2,0,1,0,2,0,0
1140,0,2,0,0,1,0,0,0,0,1,2,1,1,2,2,0,0,1,1,2
1141,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0
1142,0,0,2,0,1,0,0,1,0,1,1,0,1,1,0,2,2,0,0,0
1143,0,0,0,0,0,0,0,0,0,2,2,1,0,2,0,1,2,0,1,1
1144,2,0,0,0,0,2,0,0,2,0,1,1,2,0,0,1,0,0,1,0
1145,2,2,0,0,0,0,0,0,0,2,1,0,0,0,2,0,2,0,0,0
1146,1,2,0,2,0,0,1,0,0,2,0,0,0,2,0,0,0,0,1,0
1147,0,0,2,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,2,0
1148,2,0,0,0,1,2,0,2,0,0,0,2,0,2,1,2,0,2,0,0
1149,1,0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,2,1,1,0
1150,0,0,2,2,0,0,0,1,2,2,0,0,0,0,1,2,0,0,2,0
1151,0,0,0,0,0,2,0,2,0,1,0,1,0,1,1,0,0,0,0,0
1152,2,0,0,0,0,2,0,1,2,0,0,0,0,2,1,2,0,1,1,0
1153,2,2,2,2,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0
1154,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,2,0
1155,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0
1156,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0
1157,0,1,0,0,0,1,0,0,1,1,1,0,0,0,2,0,1,0,2,1
1158,0,2,0,0,0,2,0,0,0,2,1,2,2,1,0,2,0,2,2,2
1159,0,2,0,0,2,0,0,1,0,0,0,0,2,2,0,0,1,2,0,0
1160,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0
1161,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,2,2,1
1162,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,2,0
1163,2,0,0,0,1,0,2,2,1,2,1,0,0,1,0,0,0,0,2,0
1164,0,0,2,0,0,0,2,0,2,1,1,0,2,1,1,2,0,2,1,0
1165,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,2,0,2,2,0
1166,2,0,0,2,1,0,2,0,1,0,2,0,0,0,0,1,1,0,2,0
1167,0,0,2,2,0,0,1,1,0,0,0,2,1,0,0,0,2,0,0,0
1168,0,2,0,0,0,0,0,0,2,0,1,2,0,1,0,2,1,1,2,0
1169,0,1,0,1,1,2,0,0,0,0,0,1,2,1,1,2,0,1,2,0
1170,0,1,0,2,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,1
1171,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,1,2,1
1172,0,0,0,0,0,2,0,2,0,1,0,0,0,0,1,0,0,1,1,1
1173,2,0,0,0,2,0,0,0,2,2,0,0,0,2,2,2,0,2,0,0
1174,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0
1175,1,1,0,0,0,1,1,1,2,1,0,2,0,0,1,0,2,0,1,0
1176,1,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
1177,1,2,1,2,0,1,2,0,0,0,1,0,0,1,2,0,0,2,0,0
1178,0,0,1,0,0,2,0,2,0,0,0,2,2,0,2,0,0,2,0,2
1179,2,2,1,0,0,2,0,0,1,0,0,0,0,2,0,0,2,0,0,0
1180,0,0,0,0,1,0,0,2,0,0,1,2,2,1,0,1,0,1,1,0
1181,1,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,1,2,2,0
1182,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
1183,0,0,2,0,0,0,0,1,2,1,0,2,0,1,0,1,1,0,0,1
1184,2,1,0,0,0,0,0,2,0,1,1,1,0,1,2,0,0,0,2,0
1185,0,0,2,0,1,0,0,1,2,0,2,1,0,1,0,0,0,0,0,0
1186,2,0,0,0,0,2,0,0,1,2,1,2,2,2,0,2,0,2,2,2
1187,1,1,0,2,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0
1188,0,1,0,0,1,2,0,0,2,1,0,0,0,0,0,1,2,1,2,0
1189,0,1,2,0,0,0,0,0,0,2,0,2,0,0,2,2,0,0,0,2
1190,1,2,1,0,2,1,1,0,2,0,0,0,1,2,0,2,0,0,2,1
1191,0,1,0,0,0,0,2,0,2,1,0,0,0,1,1,0,1,1,1,1
1192,0,2,0,0,0,0,2,0,0,1,0,2,0,2,0,0,1,1,0,0
1193,0,2,2,0,1,0,0,0,1,2,0,0,0,0,2,1,0,0,0,0
1194,1,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0
1195,0,2,0,0,1,0,0,2,2,0,0,1,0,0,0,0,0,2,2,1
1196,2,0,0,2,0,1,0,0,0,1,0,1,0,0,1,1,0,2,0,2
1197,1,0,0,0,2,1,0,0,0,1,0,0,1,2,2,2,0,0,2,0
1198,2,0,0,0,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
1199,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,2,0,1,0,0
1200,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1201,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,2,0,1,0
1202,0,0,0,2,1,0,0,2,1,0,0,0,2,0,2,2,0,0,1,0
1203,0,0,2,0,0,0,0,1,2,0,0,0,2,0,2,2,0,2,0,1
1204,0,0,0,0,2,1,2,0,2,1,2,0,2,0,0,2,0,0,0,0
1205,2,0,0,1,0,2,1,1,0,0,0,1,0,2,2,1,1,1,0,1
1206,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0
1207,2,2,2,0,2,1,0,0,0,0,1,0,2,1,0,0,0,0,2,0
1208,2,0,0,0,0,1,0,2,0,0,0,1,0,0,2,2,2,2,2,0
1209,1,1,0,0,1,0,1,0,0,0,1,2,2,0,0,2,0,2,1,0
1210,2,1,1,2,1,0,2,0,0,0,0,1,1,2,1,0,2,0,0,0
1211,0,1,2,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,2,0
1212,2,0,0,0,2,1,0,0,1,0,0,0,0,1,2,2,0,0,2,1
1213,0,1,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0
1214,0,0,2,2,0,0,0,1,0,2,2,0,0,2,0,0,2,0,0,0
1215,1,2,1,0,0,0,0,0,2,0,0,1,2,0,2,0,0,0,0,0
1216,2,0,2,0,0,0,2,1,2,2,0,2,1,0,0,2,0,0,2,2
1217,0,2,0,2,1,0,1,0,0,0,1,0,1,2,0,2,0,0,0,2
1218,0,1,1,0,2,2,0,1,2,0,0,2,1,0,0,2,0,0,2,2
1219,0,1,1,0,2,0,0,0,2,0,0,0,0,1,2,2,0,0,0,0
1220,0,1,0,2,1,1,1,2,2,0,1,2,0,0,1,0,2,0,0,1
1221,2,1,0,1,0,2,0,2,0,2,2,1,2,0,1,0,0,0,0,0
1222,2,2,0,0,2,0,1,2,0,0,0,0,2,0,2,0,2,0,0,1
1223,0,2,0,0,2,1,1,0,0,0,1,0,0,0,0,1,2,0,0,0
1224,1,2,1,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,1,1
1225,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0
1226,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,2,0
1227,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,2
1228,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
1229,1,0,1,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,2,1
1230,0,0,0,1,0,2,0,2,0,1,0,0,0,1,1,0,2,1,2,0
1231,1,0,0,2,2,0,0,0,1,0,2,0,0,0,1,0,0,1,2,0
1232,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,1,0,0,0,2
1233,2,0,0,0,0,1,0,0,2,1,0,0,2,0,0,0,1,0,0,0
1234,0,0,0,0,0,1,0,0,2,1,0,0,1,0,1,0,0,0,1,0
1235,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,2,2,0,2,0
1236,1,0,0,0,1,0,0,1,0,2,0,0,1,0,2,0,2,0,2,0
1237,1,0,1,0,1,0,0,0,0,1,0,0,2,1,0,0,2,0,0,0
1238,0,0,0,0,0,0,2,0,0,0,1,0,0,1,2,0,0,0,0,0
1239,2,0,0,2,0,1,0,0,0,0,0,0,2,0,1,2,0,0,0,2
1240,0,2,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
1241,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
1242,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1243,2,2,0,1,0,0,2,0,1,2,1,2,0,2,2,1,1,1,0,0
1244,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0
1245,1,0,0,0,1,0,2,1,2,2,0,2,0,0,0,1,0,0,0,2
1246,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,2,0,0,0,0
1247,0,1,0,0,0,2,0,0,0,2,2,1,0,0,0,2,1,1,1,0
1248,0,1,0,0,0,1,0,0,2,0,0,0,2,0,0,0,1,0,0,0
1249,1,0,1,0,1,2,0,0,2,2,0,0,2,1,0,0,1,2,2,1
1250,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
1251,0,2,2,0,0,1,1,0,2,0,0,0,0,2,0,1,0,0,2,0
1252,0,0,0,0,1,2,0,2,0,0,0,0,2,0,1,1,2,0,2,2
1253,0,2,0,0,0,2,0,0,0,2,0,1,1,0,0,1,0,0,0,2
1254,0,0,1,0,0,2,2,0,2,1,0,0,0,0,0,0,0,2,0,0
1255,0,2,0,0,0,0,2,1,2,2,0,0,1,1,0,1,0,1,0,2
1256,1,0,1,0,1,0,0,0,0,2,0,2,0,2,2,1,0,0,2,2
1257,0,0,0,2,0,2,1,0,1,0,0,1,1,1,2,1,0,0,0,0
1258,0,0,0,0,0,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0
1259,1,0,0,0,1,2,2,0,2,0,0,0,0,0,1,0,0,2,2,0
1260,0,0,1,0,2,0,0,1,0,0,1,0,0,1,0,0,2,1,2,0
1261,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,2,1,0
1262,2,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,2,0,2,0
1263,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1264,0,2,2,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,1
1265,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,2,0,1,0
1266,0,0,0,0,1,0,1,0,2,0,1,1,0,0,0,0,0,0,1,0
1267,2,0,0,0,2,2,2,0,2,0,0,0,1,2,0,0,1,0,0,0
1268,0,0,2,0,2,0,2,0,0,0,0,0,0,1,0,0,2,0,0,2
1269,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0,2,0,0
1270,2,0,0,0,0,0,2,1,0,0,0,2,2,0,1,0,2,0,2,0
1271,0,1,2,0,0,2,0,0,2,1,1,0,0,0,0,0,0,0,0,2
1272,0,2,0,0,0,2,2,0,0,0,0,1,0,1,0,2,0,1,2,0
1273,0,0,0,2,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0
1274,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
1275,1,1,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0
1276,0,2,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0
1277,1,0,1,0,2,0,0,0,2,0,1,0,2,2,2,0,2,0,1,1
1278,2,0,2,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0
1279,0,2,0,2,0,0,1,2,1,0,0,0,1,2,1,0,0,2,0,1
1280,0,2,0,0,1,2,0,0,0,2,0,1,0,0,0,0,2,0,0,2
1281,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
1282,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,2,0
1283,0,2,1,1,0,2,0,0,2,0,0,0,1,0,0,0,0,1,0,2
1284,0,1,0,2,2,1,0,2,1,2,2,2,0,0,1,1,0,2,0,0
1285,0,1,0,2,2,0,0,2,2,0,0,1,0,2,0,2,1,0,0,0
1286,2,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0
1287,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,2,0
1288,1,0,2,0,0,1,0,2,2,2,2,1,0,0,0,1,0,0,2,0
1289,1,0,0,0,0,0,0,2,2,0,1,1,2,1,0,1,0,2,1,2
1290,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,2,0,0,0
1291,0,0,0,0,1,1,0,2,0,0,2,2,2,0,0,0,0,2,2,1
1292,1,0,1,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0
1293,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,2,0
1294,0,1,0,0,0,0,2,0,2,0,0,1,1,1,2,0,2,0,2,2
1295,0,1,0,0,2,0,1,2,0,0,1,0,0,0,0,2,0,2,0,0
1296,2,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,1,2
1297,0,1,0,0,0,2,0,0,0,0,0,0,2,1,1,0,1,0,2,0
1298,0,2,0,1,0,0,0,0,0,2,0,2,0,0,0,1,0,0,2,0
1299,0,1,0,0,2,0,2,0,0,0,1,0,0,1,0,2,0,1,1,2
1300,2,0,0,0,2,0,0,0,0,2,0,0,1,1,0,0,2,0,0,2
1301,2,0,0,0,0,0,1,2,0,1,0,0,0,2,0,0,0,0,1,0
1302,2,0,0,0,0,2,1,0,2,1,0,0,2,1,0,0,0,0,0,0
1303,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0
1304,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,2,0,2,1
1305,1,0,0,0,1,0,1,0,0,2,0,2,2,2,0,2,0,2,0,0
1306,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0
1307,0,0,0,0,0,1,1,0,0,0,2,0,1,0,2,2,1,0,2,0
1308,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,1,1
1309,1,0,0,2,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0
1310,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,2,1,0,2,1
1311,2,2,1,0,0,2,0,0,1,2,0,2,2,1,0,0,1,0,2,2
1312,1,2,0,0,2,2,0,1,2,2,0,0,2,0,0,0,2,2,0,0
1313,2,0,0,0,2,0,2,0,2,1,0,0,0,1,0,0,0,1,0,0
1314,1,1,0,0,0,2,2,2,0,0,0,0,2,2,2,1,0,1,2,0
1315,1,0,0,0,2,0,1,1,0,0,1,0,2,1,2,1,0,2,0,1
1316,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
1317,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
1318,2,0,0,0,1,0,1,0,2,0,0,1,1,0,0,2,0,1,0,1
1319,0,0,0,0,0,0,0,2,2,0,2,1,2,2,0,0,0,0,0,0
1320,0,1,1,1,1,0,2,2,0,2,0,2,0,0,0,2,2,0,2,0
1321,0,1,1,0,0,1,0,2,2,0,0,2,0,1,0,1,0,0,0,1
1322,2,0,0,2,0,1,2,0,2,0,0,0,1,2,1,0,0,1,0,0
1323,0,1,1,1,0,2,0,2,2,0,0,1,2,1,2,0,0,2,1,0
1324,0,1,0,0,0,2,0,0,1,2,0,0,2,0,0,2,2,0,2,0
1325,0,1,2,0,1,0,0,1,0,1,0,0,0,1,0,2,0,0,0,2
1326,0,0,0,0,1,0,0,1,2,1,1,1,0,1,0,1,0,1,0,0
1327,2,1,0,0,1,2,0,0,0,0,1,0,2,0,0,1,0,2,1,0
1328,0,1,0,2,0,0,0,0,1,2,0,1,0,0,0,2,2,1,0,1
1329,2,1,0,1,1,2,0,1,0,0,1,2,0,2,0,0,0,2,2,2
1330,0,2,0,2,1,1,1,0,0,2,0,0,2,1,1,1,0,0,0,0
1331,1,2,0,0,0,1,1,0,1,0,0,0,2,0,0,1,0,2,0,0
1332,2,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1333,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,1,0,0,2,2
1334,1,1,0,0,2,0,2,0,0,0,1,2,0,1,0,2,0,0,0,2
1335,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
1336,0,0,1,0,0,0,2,0,1,2,0,2,0,2,0,0,0,1,1,0
1337,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,2,0
1338,0,0,0,1,0,0,0,0,1,0,0,0,1,2,2,0,0,1,0,0
1339,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0
1340,0,0,2,0,0,2,2,0,0,2,1,1,0,1,0,0,1,1,1,0
1341,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,0,0
1342,2,0,0,0,1,0,1,2,2,0,0,0,0,2,0,0,0,0,0,2
1343,0,1,0,1,2,0,1,1,2,0,0,2,2,0,0,0,2,0,0,0
1344,0,1,0,2,0,0,2,1,0,1,0,1,0,2,1,0,0,0,0,1
1345,0,2,2,0,2,1,0,0,2,1,0,0,1,0,2,0,0,0,0,2
1346,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0
1347,0,0,0,0,0,1,1,0,0,2,0,0,0,0,2,2,0,0,1,2
1348,0,2,1,1,1,0,0,0,1,2,2,1,1,0,2,0,0,0,0,0
1349,0,0,1,0,0,1,2,1,1,2,1,2,0,0,0,1,0,2,0,1
1350,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1351,2,1,2,0,0,2,1,0,1,2,0,0,1,0,2,0,0,0,0,0
1352,0,2,0,0,1,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0
1353,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2
1354,0,0,2,0,0,0,0,1,0,1,2,1,0,1,2,1,1,1,0,0
1355,0,0,0,1,0,0,1,0,2,2,1,0,1,2,0,0,0,0,2,2
1356,1,2,1,2,0,0,0,0,2,0,2,1,0,0,0,0,0,0,1,0
1357,0,2,0,0,1,0,1,1,0,0,1,0,0,1,1,2,0,1,0,0
1358,2,1,1,1,0,2,1,1,0,0,0,2,1,1,2,0,0,0,1,0
1359,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,1
1360,1,1,0,1,0,2,0,1,1,1,0,0,0,0,1,0,0,0,2,0
1361,0,0,0,0,1,2,1,0,2,2,0,2,0,1,1,0,1,2,0,2
1362,2,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,2,0
1363,1,2,0,0,1,1,2,0,1,0,0,0,0,0,2,0,0,2,2,0
1364,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0
1365,2,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1
1366,0,1,0,2,0,0,0,0,0,1,2,0,1,1,0,2,0,2,2,2
1367,0,0,0,0,0,0,2,2,1,1,0,0,1,0,0,0,0,0,0,0
1368,2,2,0,0,0,2,0,1,1,2,0,0,2,1,0,0,1,0,1,2
1369,0,1,2,0,1,0,0,0,2,1,1,0,0,2,0,2,0,0,2,0
1370,0,2,0,0,0,0,0,1,0,2,0,2,2,1,0,0,0,0,1,0
1371,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
1372,0,1,2,0,0,0,0,0,0,0,0,0,2,2,0,1,2,1,0,0
1373,0,2,0,0,2,1,0,0,0,0,1,0,0,2,0,0,0,2,0,0
1374,1,0,0,0,1,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0
1375,2,0,1,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,1,0
1376,0,0,1,0,1,2,0,2,0,0,1,1,0,0,0,0,0,1,2,0
1377,0,0,0,2,1,1,0,1,0,0,1,0,0,1,1,2,0,2,2,0
1378,2,0,0,0,0,2,1,2,1,1,2,0,0,0,2,1,0,2,2,2
1379,2,0,0,0,0,1,0,2,0,0,0,0,1,1,0,1,0,2,2,2
1380,0,2,0,0,2,2,0,0,1,1,1,0,0,1,2,0,1,2,0,0
1381,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
1382,0,0,0,0,0,1,0,0,2,0,1,1,0,2,0,2,0,0,2,2
1383,0,1,1,0,0,1,0,2,1,0,0,0,0,2,1,0,1,0,1,0
1384,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1385,0,0,0,2,1,0,0,1,0,2,0,2,0,1,0,2,0,1,2,0
1386,1,1,0,2,0,0,0,0,1,2,0,0,2,2,0,1,2,0,0,2
1387,0,1,0,0,0,0,2,0,0,1,2,2,0,0,0,0,1,2,2,2
1388,1,1,0,0,2,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0
1389,2,1,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,2,1,1
1390,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0
1391,1,0,1,2,1,0,2,0,2,2,0,0,1,0,1,0,0,1,0,0
1392,1,0,2,0,2,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0
1393,1,2,2,0,0,1,0,1,0,0,0,0,0,2,1,0,0,1,0,0
1394,1,0,0,2,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,2
1395,0,2,0,0,1,0,0,0,2,2,0,0,1,0,0,0,2,0,0,0
1396,0,1,2,0,1,0,2,1,2,1,0,0,2,1,0,0,2,1,1,0
1397,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,2,2,2,2
1398,2,0,0,0,0,0,2,0,0,0,0,0,2,1,0,2,0,0,0,2
1399,2,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,2,0
1400,1,0,1,0,2,1,1,0,2,0,0,0,2,2,0,2,0,2,1,1
1401,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,1,0,2,0
1402,1,2,2,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,2
1403,2,0,0,0,0,0,0,0,2,0,0,1,0,1,1,1,0,1,0,0
1404,0,0,1,0,0,0,0,2,0,0,1,1,1,0,0,0,1,1,2,0
1405,0,0,2,0,0,0,0,0,0,0,1,0,2,1,0,2,1,0,2,0
1406,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,2,0,0,0
1407,0,2,0,0,0,1,0,0,2,0,0,1,0,0,0,2,0,0,0,1
1408,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0
1409,0,2,2,0,2,1,0,0,1,1,0,2,0,1,0,1,0,0,0,1
1410,0,2,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0
1411,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,1,0,0
1412,0,1,0,0,0,2,1,1,0,1,2,1,2,1,0,0,1,2,0,0
1413,0,2,0,0,1,2,2,0,2,2,0,0,0,1,0,0,0,0,0,2
1414,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,2,1,2,0
1415,2,0,0,1,0,1,0,1,1,0,0,2,0,2,0,0,0,0,2,0
1416,2,0,0,0,0,0,2,2,1,2,0,0,0,1,0,2,1,0,1,0
1417,0,0,0,1,0,0,0,2,0,0,1,0,0,1,1,0,0,1,0,1
1418,1,0,0,0,0,0,0,1,0,0,2,1,0,2,1,0,1,2,1,0
1419,1,2,2,0,0,0,1,0,0,2,0,0,0,2,0,1,0,0,2,0
1420,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,2,2
1421,0,2,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,2,0
1422,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,2,1
1423,0,0,2,0,0,0,0,1,0,0,1,0,0,2,2,0,0,2,2,0
1424,0,0,2,0,0,1,0,0,1,0,1,0,2,1,2,1,0,2,2,2
1425,2,2,2,0,0,1,1,0,2,0,1,2,0,2,0,0,0,0,1,0
1426,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,1,1,0,1
1427,2,1,0,0,1,0,0,2,0,0,2,2,2,0,1,1,1,0,1,0
1428,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,2
1429,0,0,0,0,0,0,0,1,0,0,2,2,0,1,0,0,0,0,2,2
1430,1,0,0,0,0,1,2,2,0,0,0,2,0,0,0,0,0,0,2,0
1431,0,0,1,0,1,0,0,0,2,0,0,2,0,0,1,0,0,0,0,1
1432,0,2,0,0,1,1,1,0,1,1,0,1,2,0,1,0,1,2,0,1
1433,0,1,2,0,2,0,0,1,0,2,0,0,0,0,0,2,0,0,2,0
1434,1,0,1,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,2,1
1435,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,0,2,0,2
1436,0,0,0,0,0,1,1,0,0,0,2,0,2,2,0,0,2,2,0,0
1437,1,2,2,2,2,2,0,0,0,0,0,0,2,0,2,2,0,0,2,0
1438,0,2,2,1,0,2,1,1,0,0,2,0,0,2,1,1,0,2,2,1
1439,0,0,1,1,0,2,1,0,1,0,2,2,0,1,0,2,1,0,0,2
1440,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,2,0,0,1,2
1441,0,1,0,0,0,0,0,0,0,1,1,1,1,2,0,0,2,0,0,0
1442,0,0,1,2,1,0,0,2,0,2,1,0,0,1,0,1,0,0,0,0
1443,1,0,0,2,0,1,0,1,1,2,2,0,0,2,2,1,0,0,0,1
1444,0,1,0,1,0,1,2,2,0,0,0,1,0,0,2,0,1,0,0,1
1445,1,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,1
1446,0,1,1,1,0,1,0,0,0,0,2,1,2,0,0,0,2,1,1,0
1447,0,0,0,2,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0
1448,0,2,2,2,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0
1449,1,0,1,0,1,0,1,0,0,0,0,1,0,2,0,0,1,0,1,0
1450,1,0,0,0,0,0,0,0,0,2,0,2,1,2,0,1,1,2,0,0
1451,2,2,0,2,0,1,0,1,2,0,0,0,0,2,0,1,2,2,1,2
1452,0,2,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0
1453,0,1,0,2,0,0,1,0,0,1,2,0,2,0,0,2,2,0,1,0
1454,0,0,0,0,0,0,0,1,0,2,2,2,0,2,1,2,1,0,0,2
1455,0,0,2,0,2,0,2,1,0,2,0,0,0,1,0,1,2,0,2,2
1456,0,2,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0
1457,0,0,0,0,0,0,2,2,2,1,1,0,0,1,2,1,1,1,2,0
1458,0,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,0,0
1459,0,1,0,0,0,0,0,2,0,2,2,0,2,2,0,0,1,1,1,0
1460,0,1,1,1,2,0,0,0,0,0,1,0,0,0,2,0,0,2,0,1
